ModelName,ModelDomain,SourceWebAddress,SourceCodeAvailability,CodeReviewed,ProgrammingLanguage,DOIModel,FullUrl,F,A,I,R,F1,F2,F3,A1,A3,I1,I2,I3,R1,R2,R3,R4,F1_1,F1_2,F2_1,F2_2,F3_1,F3_2,F3_3,A1_2,A1_3,A1_4,A1_5,A3_2,A3_3,A3_4,A3_5,I1_1,I1_3,I1_4,I2_1,I2_2,I3_1,I3_2,I3_3,R1_1,R2_1,R3_2,R4_1
ALFRESCO,Cryosphere,https://github.com/ua-snap/alfresco,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:ALFRESCO,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
AR2-sinuosity,Hydrology,https://github.com/alimaye/AR2-sinuosity,Through web repository,1,Matlab,,https://csdms.colorado.edu/wiki/Model:AR2-sinuosity,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
ATS (The Advanced Terrestrial Simulator),Cryosphere,https://github.com/amanzi/ats,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:ATS_(The_Advanced_Terrestrial_Simulator),0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
AeoLiS,Terrestrial,https://github.com/openearth/aeolis-python,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:AeoLiS,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
AlluvStrat,Coastal,https://github.com/awickert/alluvstrat,Through CSDMS repository,1,Python,10.1594/IEDA/100088,https://csdms.colorado.edu/wiki/Model:AlluvStrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnugaSed,Hydrology,https://github.com/mperignon/anugaSed,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:AnugaSed,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
ApsimX,Terrestrial,https://github.com/APSIMInitiative/ApsimX,Through web repository,0,Fortran90,,https://csdms.colorado.edu/wiki/Model:ApsimX,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Auto marsh,Coastal,https://github.com/csdms-contrib/Auto_marsh,Through web repository,1,Matlab,,https://csdms.colorado.edu/wiki/Model:Auto_marsh,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Avulsion,Coastal,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100091,https://csdms.colorado.edu/wiki/Model:Avulsion,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
BRaKE,Terrestrial,https://github.com/cmshobe/brake-model,Through CSDMS repository,1,Python,,https://csdms.colorado.edu/wiki/Model:BRaKE,0.72,0.0,0.0,0.5,0.8,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
Badlands,Climate,http://github.com/badlands-model,Through web repository,1,C,10.5281/zenodo.27384,https://csdms.colorado.edu/wiki/Model:Badlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
