ModelName,ModelDomain,SourceWebAddress,SourceCodeAvailability,CodeReviewed,ProgrammingLanguage,DOIModel,FullUrl
ALFRESCO,Cryosphere,https://github.com/ua-snap/alfresco,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:ALFRESCO
AR2-sinuosity,Hydrology,https://github.com/alimaye/AR2-sinuosity,Through web repository,1,Matlab,,https://csdms.colorado.edu/wiki/Model:AR2-sinuosity
ATS (The Advanced Terrestrial Simulator),Cryosphere,https://github.com/amanzi/ats,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:ATS_(The_Advanced_Terrestrial_Simulator)
AeoLiS,Terrestrial,https://github.com/openearth/aeolis-python,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:AeoLiS
AlluvStrat,Coastal,https://github.com/awickert/alluvstrat,Through CSDMS repository,1,Python,10.1594/IEDA/100088,https://csdms.colorado.edu/wiki/Model:AlluvStrat
AnugaSed,Hydrology,https://github.com/mperignon/anugaSed,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:AnugaSed
ApsimX,Terrestrial,https://github.com/APSIMInitiative/ApsimX,Through web repository,0,Fortran90,,https://csdms.colorado.edu/wiki/Model:ApsimX
Auto marsh,Coastal,https://github.com/csdms-contrib/Auto_marsh,Through web repository,1,Matlab,,https://csdms.colorado.edu/wiki/Model:Auto_marsh
Avulsion,Coastal,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100091,https://csdms.colorado.edu/wiki/Model:Avulsion
BRaKE,Terrestrial,https://github.com/cmshobe/brake-model,Through CSDMS repository,1,Python,,https://csdms.colorado.edu/wiki/Model:BRaKE
Badlands,Climate,http://github.com/badlands-model,Through web repository,1,C,10.5281/zenodo.27384,https://csdms.colorado.edu/wiki/Model:Badlands
Barrier Inlet Environment (BRIE) Model,Coastal,https://github.com/csdms-contrib/Barrier_Inlet_Environment_BRIE_Model,Through web repository,1,Matlab,10.5281/zenodo.1218142,https://csdms.colorado.edu/wiki/Model:Barrier_Inlet_Environment_(BRIE)_Model
Barrier3D,Coastal,https://github.com/UNC-CECL/Barrier3D,Through web repository,1,Python,10.5281/zenodo.4730988,https://csdms.colorado.edu/wiki/Model:Barrier3D
BarrierBMFT,Coastal,https://github.com/UNC-CECL/BarrierBMFT,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:BarrierBMFT
Bing,Marine,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100098,https://csdms.colorado.edu/wiki/Model:Bing
Bio,Marine,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100099,https://csdms.colorado.edu/wiki/Model:Bio
BlockLab,Terrestrial,https://github.com/cmshobe/BlockLab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:BlockLab
CHILD,Terrestrial,https://github.com/childmodel/child,Through web repository,1,C++,10.1594/IEDA/100102,https://csdms.colorado.edu/wiki/Model:CHILD
CICE,Cryosphere,https://github.com/CICE-Consortium/CICE,Through web repository,1,Fortran90,,https://csdms.colorado.edu/wiki/Model:CICE
CMIP,Climate,https://github.com/permamodel,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:CMIP
COAWST,Coastal,https://github.com/DOI-USGS/COAWST,Through web repository,1,C,,https://csdms.colorado.edu/wiki/Model:COAWST
COLT Restorations,Coastal,https://github.com/mbbarksdale/CoLT_Restorations,Through web repository,1,Matlab,10.5281/zenodo.14052901,https://csdms.colorado.edu/wiki/Model:COLT_Restorations
CWatM,Hydrology,https://github.com/iiasa/CWatM,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:CWatM
ChannelProfiler,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:ChannelProfiler
ChiFinder,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:ChiFinder
Cliffs,Coastal,https://github.com/Delta-function/cliffs-src,Through web repository,1,Fortran90,,https://csdms.colorado.edu/wiki/Model:Cliffs
CoAStal Community-lAnDscape Evolution (CASCADE) model,Coastal,https://github.com/UNC-CECL/CASCADE,Through CSDMS repository,1,Python,,https://csdms.colorado.edu/wiki/Model:CoAStal_Community-lAnDscape_Evolution_(CASCADE)_model
CoastMorpho2D,Coastal,https://github.com/csdms-contrib/CoastMorpho2D,Through web repository,1,Matlab,10.5281/zenodo.10563890,https://csdms.colorado.edu/wiki/Model:CoastMorpho2D
Compact,Marine,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100103,https://csdms.colorado.edu/wiki/Model:Compact
CryoGrid3,Cryosphere,https://github.com/CryoGrid/CryoGrid3,Through web repository,1,Matlab,,https://csdms.colorado.edu/wiki/Model:CryoGrid3
DFMFON,Coastal,https://github.com/smbeselly/DFMFON,Through web repository,1,Java,,https://csdms.colorado.edu/wiki/Model:DFMFON
DHSVM,Hydrology,https://github.com/pnnl/DHSVM-PNNL,Through web repository,1,C,,https://csdms.colorado.edu/wiki/Model:DHSVM
Dakotathon,Climate,https://github.com/csdms/dakota,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:Dakotathon
DbSEABED Data Component,Carbonates and Biogenics,https://github.com/gantian127/bmi_dbseabed,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DbSEABED_Data_Component
Demeter,Terrestrial,https://github.com/JGCRI/demeter,Through web repository,1,Python,10.5281/zenodo.3234948,https://csdms.colorado.edu/wiki/Model:Demeter
DepressionFinderAndRouter,Hydrology,https://github.com/landlab/landlab/tree/master/landlab/components/overland_flow,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DepressionFinderAndRouter
DepthDependentDiffuser,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab/components/depth_dependent_diffusion,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DepthDependentDiffuser
DepthDependentTaylorDiffuser,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DepthDependentTaylorDiffuser
DetachmentLtdErosion,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:DetachmentLtdErosion
Diffusion,Marine,https://github.com/mcflugen/sedflux,Through web repository,1,C,10.1594/IEDA/100111,https://csdms.colorado.edu/wiki/Model:Diffusion
Dorado,Hydrology,https://github.com/passaH2O/dorado,Through web repository,0,Python,,https://csdms.colorado.edu/wiki/Model:Dorado
Drainage Density,Terrestrial,https://github.com/landlab/landlab/tree/master/landlab/components/drainage_density,Through web repository,1,Python,,https://csdms.colorado.edu/wiki/Model:Drainage_Density
DynEarthSol3D,Geodynamic,https://github.com/tan2/DynEarthSol,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:DynEarthSol3D
DynQual,Hydrology,https://github.com/UU-Hydro/DYNQUAL,Through web repository,1,Python,10.5281/zenodo.7932317,https://csdms.colorado.edu/wiki/Model:DynQual
ECSimpleSnow,Climate,https://github.com/permamodel/Snow_BMI_Fortran,Through web repository,1,Fortran90,,https://csdms.colorado.edu/wiki/Model:ECSimpleSnow
EF5,Hydrology,https://github.com/HyDROSLab/EF5,Through web repository,1,C++,,https://csdms.colorado.edu/wiki/Model:EF5
ESCAPE,Climate,https://github.com/Geodels/eSCAPE,Through web repository,0,Fortran90,10.5281/zenodo.1419844,https://csdms.colorado.edu/wiki/Model:ESCAPE
Equilibrium Calculator,Hydrology,https://github.com/vipenrica/Channel-geometry,Through web repository,1,,,https://csdms.colorado.edu/wiki/Model:Equilibrium_Calculator
